# file...... /home/ali/Downloads/ns2/ns-2.35/examples/test-case/out-gl.csv
# date...... Fri Nov  7 22:39:44 2014
# user...... root
# host...... (null)
# target.... house 0
# trigger... (none)
# interval.. -1
# limit..... 0
# timestamp,panel.power, panel.constant_current, panel.constant_power
2014-01-01 00:00:00 EST,+0.76875+0.236197j,+0.03192+0.00799991j,+0.403755+0.159556j
2014-01-01 01:00:00 EST,+0.6205+0.205683j,+0.02888+0.00723801j,+0.36397+0.146547j
2014-01-01 02:00:00 EST,+0.5759+0.196114j,+0.02812+0.00704754j,+0.35123+0.142113j
2014-01-01 03:00:00 EST,+0.5466+0.188827j,+0.02736+0.00685706j,+0.34029+0.138038j
2014-01-01 04:00:00 EST,+0.567+0.193512j,+0.02812+0.00704754j,+0.34728+0.140371j
2014-01-01 05:00:00 EST,+0.69815+0.224222j,+0.03192+0.00799991j,+0.392255+0.156208j
2014-01-01 06:00:00 EST,+1.0748+0.313277j,+0.04408+0.0110475j,+0.52442+0.202357j
2014-01-01 07:00:00 EST,+1.4196+0.38895j,+0.05244+0.0131427j,+0.62946+0.238237j
2014-01-01 08:00:00 EST,+1.4794+0.382556j,+0.04636+0.0116189j,+0.59539+0.222463j
2014-01-01 09:00:00 EST,+1.6418+0.396597j,+0.04256+0.0106665j,+0.58709+0.214646j
2014-01-01 09:34:21 EST,+5.41567+0.396597j,+0.04256+0.0106665j,+3.60618+0.971302j
2014-01-01 09:39:12 EST,+1.6418+0.396597j,+0.04256+0.0106665j,+0.58709+0.214646j
2014-01-01 10:00:00 EST,+1.7571+0.406493j,+0.04028+0.0100951j,+0.58122+0.208807j
2014-01-01 11:00:00 EST,+1.7735+0.404315j,+0.03876+0.00971417j,+0.57074+0.203785j
2014-01-01 11:09:36 EST,+5.54737+0.404315j,+0.03876+0.00971417j,+3.58983+0.960441j
2014-01-01 11:14:27 EST,+1.7735+0.404315j,+0.03876+0.00971417j,+0.57074+0.203785j
2014-01-01 12:00:00 EST,+1.65865+0.384717j,+0.03724+0.00933322j,+0.549985+0.198401j
2014-01-01 12:51:17 EST,+5.43252+0.384717j,+0.03724+0.00933322j,+3.56908+0.955057j
2014-01-01 12:56:07 EST,+1.65865+0.384717j,+0.03724+0.00933322j,+0.549985+0.198401j
2014-01-01 13:00:00 EST,+1.5484+0.363928j,+0.03572+0.00895228j,+0.52543+0.190835j
2014-01-01 13:55:09 EST,+6.0484+0.363928j,+0.03572+0.00895228j,+0.52543+0.190835j
2014-01-01 14:00:00 EST,+5.96395+0.350373j,+0.03572+0.00895228j,+0.513205+0.187648j
2014-01-01 14:00:14 EST,+1.46395+0.350373j,+0.03572+0.00895228j,+0.513205+0.187648j
2014-01-01 14:45:37 EST,+5.23782+0.350373j,+0.03572+0.00895228j,+3.5323+0.944305j
2014-01-01 14:50:27 EST,+1.46395+0.350373j,+0.03572+0.00895228j,+0.513205+0.187648j
2014-01-01 15:00:00 EST,+1.4857+0.362349j,+0.03876+0.00971417j,+0.53899+0.198149j
2014-01-01 16:00:00 EST,+1.66685+0.415097j,+0.04788+0.0119999j,+0.628895+0.2318j
2014-01-01 16:23:20 EST,+5.44072+0.415097j,+0.04788+0.0119999j,+3.64799+0.988456j
2014-01-01 16:28:12 EST,+1.66685+0.415097j,+0.04788+0.0119999j,+0.628895+0.2318j
2014-01-01 17:00:00 EST,+1.95045+0.503188j,+0.06384+0.0159998j,+0.784035+0.290822j
2014-01-01 17:31:26 EST,+5.72432+0.503188j,+0.06384+0.0159998j,+3.80313+1.04748j
2014-01-01 17:36:20 EST,+1.95045+0.503188j,+0.06384+0.0159998j,+0.784035+0.290822j
2014-01-01 18:00:00 EST,+2.052+0.546373j,+0.07372+0.018476j,+0.87078+0.325308j
2014-01-01 18:26:55 EST,+5.82587+0.546373j,+0.07372+0.018476j,+3.88987+1.08196j
2014-01-01 18:31:50 EST,+2.052+0.546373j,+0.07372+0.018476j,+0.87078+0.325308j
2014-01-01 19:00:00 EST,+2.0455+0.544868j,+0.07448+0.0186664j,+0.86947+0.324305j
2014-01-01 19:19:58 EST,+5.81937+0.544868j,+0.07448+0.0186664j,+3.88856+1.08096j
2014-01-01 19:24:53 EST,+2.0455+0.544868j,+0.07448+0.0186664j,+0.86947+0.324305j
2014-01-01 20:00:00 EST,+2.0606+0.54206j,+0.07296+0.0182855j,+0.85784+0.318726j
2014-01-01 20:13:23 EST,+5.83447+0.54206j,+0.07296+0.0182855j,+3.87693+1.07538j
2014-01-01 20:18:18 EST,+2.0606+0.54206j,+0.07296+0.0182855j,+0.85784+0.318726j
2014-01-01 21:00:00 EST,+1.9887+0.516252j,+0.06764+0.0169522j,+0.80916+0.29978j
2014-01-01 21:08:35 EST,+5.76257+0.516252j,+0.06764+0.0169522j,+3.82825+1.05644j
2014-01-01 21:13:29 EST,+1.9887+0.516252j,+0.06764+0.0169522j,+0.80916+0.29978j
2014-01-01 22:00:00 EST,+1.65505+0.434283j,+0.05624+0.0140951j,+0.684085+0.255158j
2014-01-01 22:11:04 EST,+5.42892+0.434283j,+0.05624+0.0140951j,+3.70318+1.01181j
2014-01-01 22:15:56 EST,+1.65505+0.434283j,+0.05624+0.0140951j,+0.684085+0.255158j
2014-01-01 23:00:00 EST,+1.15175+0.319982j,+0.0418+0.0104761j,+0.520025+0.19877j
